% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
FC5	2.18940540E+000	-9.90449080E-003	8.64033700E-003	2.22630670E-004	-1.22919420E-005	5.93863490E-007
FCD1	2.21811320E+000	-5.79942700E-003	8.34706790E-003	6.50465230E-005	8.51421860E-006	-5.88522690E-007
FCD100	2.04821570E+000	-4.32112220E-003	6.18267550E-003	3.14114800E-005	3.53707930E-006	-1.66944970E-007
FCD505	2.50235500E+000	-7.20800420E-003	1.20127430E-002	3.49208420E-004	-2.47296760E-005	1.38015670E-006
FCD515	2.50235500E+000	-7.20800420E-003	1.20127430E-002	3.49208420E-004	-2.47296760E-005	1.38015670E-006
PCD4	2.58070450E+000	-1.09575380E-002	1.26894300E-002	6.63878120E-004	-6.48496640E-005	3.47878630E-006
PCD51	2.50466380E+000	-1.01494480E-002	1.26537690E-002	1.65666420E-004	5.38717470E-007	5.58409300E-008
BSC7	2.27025660E+000	-9.19881010E-003	1.16097060E-002	-7.61239110E-005	2.85587270E-005	-1.25664860E-006
E-C3	2.27254520E+000	-8.41049100E-003	1.13068430E-002	3.77822970E-004	-2.69034230E-005	1.59764890E-006
BAC4	2.41966450E+000	-8.33293140E-003	1.53973900E-002	-1.73916540E-004	6.21832200E-005	-3.06213100E-006
BACD5	2.48614990E+000	-9.56848450E-003	1.46850590E-002	-1.12164870E-004	4.19787770E-005	-1.88561900E-006
BACD14	2.53352560E+000	-1.19033380E-002	1.22572490E-002	7.91721490E-004	-7.73818290E-005	3.99354410E-006
