% -------------------------------------------------------------------------------------------
% OHARA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2012-01-27
% Source:                 gk_xls_20120127.xls
% Dispersion Formula:     Sellmeier  [ n^2 - 1 = A1*L^2/(L2-B1) + A2*L^2/(L2-B2) + A3*L^2/(L2-B3) ]
% Valid Wavelength Range: 326 ~ 1129 nm
% -------------------------------------------------------------------------------------------
% Name	A1	A2	A3	B1	B2	B3
%/
S-BAH10	1.5903433700E+00	1.3846457900E-01	1.2198804300E+00	9.3273434000E-03	4.2749865400E-02	1.1925177700E+02
S-BAH11	1.5713886000E+00	1.4786931300E-01	1.2809284600E+00	9.1080793600E-03	4.0240168400E-02	1.3039936700E+02
S-BAH27	1.6893905200E+00	1.3308101300E-01	1.4116551500E+00	1.0359819300E-02	5.3398223900E-02	1.2651550300E+02
S-BAH28	1.6949348400E+00	1.9289029800E-01	1.5638594800E+00	1.0272319000E-02	5.2118764000E-02	1.3781803500E+02
S-BAH32	1.5802363000E+00	1.3750463200E-01	1.6060329800E+00	1.0357806200E-02	5.4839308800E-02	1.4798288500E+02
S-BAL2	1.3092381300E+00	1.1413735300E-01	1.1788225900E+00	8.3887395300E-03	3.9943648500E-02	1.4025789200E+02
S-BAL3	1.2936689000E+00	1.3244025200E-01	1.1019729300E+00	8.0036796200E-03	3.5471119600E-02	1.3451743100E+02
S-BAL11	8.2131425600E-01	6.1258647800E-01	1.2485963700E+00	3.5143613100E-03	1.7976237500E-02	1.3345667000E+02
S-BAL12	7.1460525800E-01	6.2199328900E-01	1.2253768100E+00	3.0176391300E-03	1.6650545000E-02	1.4350631400E+02
S-BAL14	1.2755369600E+00	1.4608339300E-01	1.1675469900E+00	7.4969235900E-03	3.1042153000E-02	1.2894709200E+02
S-BAL35	9.4135727300E-01	5.4617489500E-01	1.1616891700E+00	1.4033399600E-02	9.0663568300E-04	1.1416375800E+02
S-BAL41	1.2434420000E+00	1.6630110400E-01	1.1058611400E+00	1.1639670800E-02	-8.9046493800E-03	1.1411122000E+02
